6,"(40, 44, 0, 0, 0, 0)"
2,"(45, 41, 0, 0, 0, 0)"
5,"(3, 3, 0, 0, 0, 0)"
1,"(215, 226, 0, 0, 0, 0)"
15,"(15, 13, 0, 0, 0, 0)"
4,"(63, 54, 0, 0, 0, 0)"
3,"(0, 21, 0, 0, 0, 0)"
13,"(210, 191, 0, 0, 0, 0)"
16,"(0, 1, 0, 0, 0, 0)"
10,"(8, 5, 0, 0, 0, 0)"
7,"(232, 216, 0, 0, 0, 0)"
21,"(22, 26, 0, 0, 0, 0)"
20,"(0, 10, 0, 0, 0, 0)"
8,"(1, 3, 0, 0, 0, 0)"
17,"(26, 19, 0, 0, 0, 0)"
23,"(18, 26, 0, 0, 0, 0)"
25,"(0, 113, 0, 0, 0, 0)"
26,"(12, 11, 0, 0, 0, 0)"
28,"(7, 11, 0, 0, 0, 0)"
29,"(33, 35, 0, 0, 0, 0)"
31,"(2, 2, 0, 0, 0, 0)"
32,"(6, 6, 0, 0, 0, 0)"
34,"(3, 3, 0, 0, 0, 0)"
35,"(763, 535, 0, 0, 0, 0)"
36,"(35, 33, 0, 0, 0, 0)"
37,"(13, 12, 0, 0, 0, 0)"
44,"(2, 3, 0, 0, 0, 0)"
39,"(25, 25, 0, 0, 0, 0)"
45,"(11, 11, 0, 0, 0, 0)"
19,"(12, 10, 0, 0, 0, 0)"
46,"(1, 1, 0, 0, 0, 0)"
47,"(2, 2, 0, 0, 0, 0)"
51,"(30, 29, 0, 0, 0, 0)"
52,"(1, 1, 0, 0, 0, 0)"
53,"(2, 2, 0, 0, 0, 0)"
54,"(7, 7, 0, 0, 0, 0)"
41,"(100, 95, 0, 0, 0, 0)"
55,"(1, 1, 0, 0, 0, 0)"
57,"(59, 80, 0, 0, 0, 0)"
61,"(5, 9, 0, 0, 0, 0)"
65,"(1, 1, 0, 0, 0, 0)"
56,"(7, 6, 0, 0, 0, 0)"
66,"(1, 1, 0, 0, 0, 0)"
69,"(7, 9, 0, 0, 0, 0)"
70,"(6, 6, 0, 0, 0, 0)"
71,"(1, 1, 0, 0, 0, 0)"
72,"(11, 11, 0, 0, 0, 0)"
74,"(1, 1, 0, 0, 0, 0)"
75,"(7, 10, 0, 0, 0, 0)"
68,"(5, 5, 0, 0, 0, 0)"
64,"(78, 69, 0, 0, 0, 0)"
76,"(3, 3, 0, 0, 0, 0)"
77,"(21, 14, 0, 0, 0, 0)"
78,"(8, 10, 0, 0, 0, 0)"
60,"(63, 66, 0, 0, 0, 0)"
79,"(1, 1, 0, 0, 0, 0)"
80,"(17, 17, 0, 0, 0, 0)"
81,"(6, 9, 0, 0, 0, 0)"
62,"(14, 52, 0, 0, 0, 0)"
83,"(1, 1, 0, 0, 0, 0)"
104,"(56, 54, 0, 0, 0, 0)"
86,"(1, 1, 0, 0, 0, 0)"
87,"(2, 2, 0, 0, 0, 0)"
89,"(2, 2, 0, 0, 0, 0)"
94,"(1, 1, 0, 0, 0, 0)"
95,"(6, 6, 0, 0, 0, 0)"
96,"(42, 37, 0, 0, 0, 0)"
97,"(4, 4, 0, 0, 0, 0)"
99,"(1, 1, 0, 0, 0, 0)"
88,"(7, 6, 0, 0, 0, 0)"
101,"(5, 7, 0, 0, 0, 0)"
100,"(12, 8, 0, 0, 0, 0)"
103,"(0, 1, 0, 0, 0, 0)"
105,"(1, 2, 0, 0, 0, 0)"
106,"(1, 1, 0, 0, 0, 0)"
107,"(2, 2, 0, 0, 0, 0)"
108,"(4, 6, 0, 0, 0, 0)"
109,"(5, 6, 0, 0, 0, 0)"
110,"(12, 15, 0, 0, 0, 0)"
111,"(5, 6, 0, 0, 0, 0)"
112,"(26, 14, 0, 0, 0, 0)"
115,"(32, 24, 0, 0, 0, 0)"
114,"(6, 9, 0, 0, 0, 0)"
119,"(3, 3, 0, 0, 0, 0)"
122,"(2, 1, 0, 0, 0, 0)"
127,"(2, 3, 0, 0, 0, 0)"
129,"(2, 6, 0, 0, 0, 0)"
116,"(1, 1, 0, 0, 0, 0)"
131,"(0, 1, 0, 0, 0, 0)"
132,"(32, 32, 0, 0, 0, 0)"
133,"(2, 2, 0, 0, 0, 0)"
113,"(42, 36, 0, 0, 0, 0)"
125,"(8, 8, 0, 0, 0, 0)"
135,"(92, 93, 0, 0, 0, 0)"
134,"(11, 12, 0, 0, 0, 0)"
137,"(2, 2, 0, 0, 0, 0)"
138,"(2, 2, 0, 0, 0, 0)"
140,"(1, 1, 0, 0, 0, 0)"
141,"(21, 21, 0, 0, 0, 0)"
139,"(4, 3, 0, 0, 0, 0)"
142,"(11, 11, 0, 0, 0, 0)"
143,"(22, 20, 0, 0, 0, 0)"
144,"(43, 41, 0, 0, 0, 0)"
145,"(1, 1, 0, 0, 0, 0)"
146,"(15, 15, 0, 0, 0, 0)"
147,"(2, 3, 0, 0, 0, 0)"
148,"(5, 5, 0, 0, 0, 0)"
93,"(12, 13, 0, 0, 0, 0)"
149,"(36, 28, 0, 0, 0, 0)"
150,"(5, 3, 0, 0, 0, 0)"
152,"(3, 10, 0, 0, 0, 0)"
153,"(4, 6, 0, 0, 0, 0)"
154,"(1, 1, 0, 0, 0, 0)"
155,"(3, 2, 0, 0, 0, 0)"
156,"(7, 7, 0, 0, 0, 0)"
157,"(2, 2, 0, 0, 0, 0)"
158,"(1, 3, 0, 0, 0, 0)"
160,"(7, 7, 0, 0, 0, 0)"
161,"(3, 3, 0, 0, 0, 0)"
162,"(2, 2, 0, 0, 0, 0)"
163,"(9, 8, 0, 0, 0, 0)"
165,"(1, 2, 0, 0, 0, 0)"
166,"(13, 13, 0, 0, 0, 0)"
167,"(10, 11, 0, 0, 0, 0)"
168,"(1, 1, 0, 0, 0, 0)"
169,"(1, 2, 0, 0, 0, 0)"
170,"(1, 1, 0, 0, 0, 0)"
171,"(53, 50, 0, 0, 0, 0)"
172,"(1, 1, 0, 0, 0, 0)"
173,"(3, 4, 0, 0, 0, 0)"
174,"(4, 4, 0, 0, 0, 0)"
175,"(1, 1, 0, 0, 0, 0)"
176,"(4, 3, 0, 0, 0, 0)"
177,"(10, 9, 0, 0, 0, 0)"
178,"(37, 34, 0, 0, 0, 0)"
179,"(2, 7, 0, 0, 0, 0)"
180,"(9, 10, 0, 0, 0, 0)"
181,"(5, 6, 0, 0, 0, 0)"
159,"(24, 24, 0, 0, 0, 0)"
182,"(1, 1, 0, 0, 0, 0)"
183,"(3, 3, 0, 0, 0, 0)"
184,"(23, 19, 0, 0, 0, 0)"
185,"(2, 2, 0, 0, 0, 0)"
186,"(11, 12, 0, 0, 0, 0)"
187,"(1, 1, 0, 0, 0, 0)"
33,"(32, 32, 0, 0, 0, 0)"
188,"(2, 2, 0, 0, 0, 0)"
189,"(2, 3, 0, 0, 0, 0)"
190,"(1, 1, 0, 0, 0, 0)"
191,"(2, 3, 0, 0, 0, 0)"
192,"(18, 17, 0, 0, 0, 0)"
193,"(2, 2, 0, 0, 0, 0)"
194,"(3, 3, 0, 0, 0, 0)"
195,"(1, 1, 0, 0, 0, 0)"
196,"(1, 1, 0, 0, 0, 0)"
198,"(45, 50, 0, 0, 0, 0)"
199,"(6, 4, 0, 0, 0, 0)"
200,"(8, 7, 0, 0, 0, 0)"
201,"(2, 4, 0, 0, 0, 0)"
202,"(127, 115, 0, 0, 0, 0)"
203,"(10, 9, 0, 0, 0, 0)"
204,"(24, 31, 0, 0, 0, 0)"
205,"(0, 1, 0, 0, 0, 0)"
206,"(15, 15, 0, 0, 0, 0)"
207,"(6, 7, 0, 0, 0, 0)"
209,"(27, 30, 0, 0, 0, 0)"
210,"(1, 1, 0, 0, 0, 0)"
120,"(5, 6, 0, 0, 0, 0)"
211,"(1, 2, 0, 0, 0, 0)"
212,"(6, 6, 0, 0, 0, 0)"
213,"(1, 1, 0, 0, 0, 0)"
214,"(12, 14, 0, 0, 0, 0)"
215,"(54, 53, 0, 0, 0, 0)"
216,"(9, 9, 0, 0, 0, 0)"
217,"(3, 3, 0, 0, 0, 0)"
218,"(1, 2, 0, 0, 0, 0)"
219,"(18, 18, 0, 0, 0, 0)"
220,"(0, 1, 0, 0, 0, 0)"
223,"(0, 11, 0, 0, 0, 0)"
224,"(8, 7, 0, 0, 0, 0)"
225,"(6, 3, 0, 0, 0, 0)"
227,"(6, 6, 0, 0, 0, 0)"
228,"(14, 13, 0, 0, 0, 0)"
230,"(5, 32, 0, 0, 0, 0)"
231,"(4, 4, 0, 0, 0, 0)"
232,"(1, 1, 0, 0, 0, 0)"
233,"(1, 3, 0, 0, 0, 0)"
208,"(2, 2, 0, 0, 0, 0)"
234,"(2, 3, 0, 0, 0, 0)"
235,"(9, 13, 0, 0, 0, 0)"
222,"(12, 13, 0, 0, 0, 0)"
236,"(3, 2, 0, 0, 0, 0)"
237,"(1, 1, 0, 0, 0, 0)"
238,"(8, 6, 0, 0, 0, 0)"
239,"(11, 8, 0, 0, 0, 0)"
240,"(3, 4, 0, 0, 0, 0)"
241,"(7, 5, 0, 0, 0, 0)"
242,"(14, 16, 0, 0, 0, 0)"
244,"(4, 5, 0, 0, 0, 0)"
164,"(5, 4, 0, 0, 0, 0)"
245,"(4, 11, 0, 0, 0, 0)"
246,"(3, 5, 0, 0, 0, 0)"
247,"(1, 1, 0, 0, 0, 0)"
248,"(3, 2, 0, 0, 0, 0)"
250,"(2, 3, 0, 0, 0, 0)"
251,"(8, 9, 0, 0, 0, 0)"
249,"(20, 20, 0, 0, 0, 0)"
243,"(12, 9, 0, 0, 0, 0)"
252,"(1, 1, 0, 0, 0, 0)"
253,"(1, 0, 0, 0, 0, 0)"
255,"(2, 1, 0, 0, 0, 0)"
256,"(32, 33, 0, 0, 0, 0)"
257,"(93, 18, 0, 0, 0, 0)"
258,"(2, 2, 0, 0, 0, 0)"
259,"(3, 2, 0, 0, 0, 0)"
260,"(0, 3, 0, 0, 0, 0)"
261,"(7, 8, 0, 0, 0, 0)"
