Hermione1980,JIP,1
Hermione1980,Shimgray,1
Hermione1980,Gkhan (page does not exist),1
Hermione1980,Merovingian,1
Hermione1980,Titoxd,1
Hermione1980,Hermione1980,-1
Hermione1980,Celestianpower,1
Hermione1980,CambridgeBayWeather,1
Hermione1980,Journalist,1
Hermione1980,Aranda56 (page does not exist),1
Hermione1980,Redwolf24,-1
Hermione1980,Dmcdevit,1
Hermione1980,Albus Dumbledore (page does not exist),1
Hermione1980,Chosen One,1
Hermione1980,Draco Malfoy (page does not exist),1
Hermione1980,Mikkalai,1
Hermione1980,Tabor,1
Hermione1980,Aquillion,1
Hermione1980,Sjakkalle,1
Hermione1980,Gadfium,1
Hermione1980,Nandesuka,1
Hermione1980,FireFox,1
Hermione1980,Carbonite,1
Hermione1980,Biekko (page does not exist),1
Hermione1980,El C,1
Hermione1980,The wub,1
Hermione1980,Radiant!,1
Hermione1980,Haukurth,1
Hermione1980,Redvers,1
Hermione1980,Borisblue,1
Hermione1980,Friday,1
Hermione1980,Y0u,1
Hermione1980,Ral315,1
Hermione1980,Drini,1
Hermione1980,Tony Sidaway,1
Hermione1980,Evilphoenix,-1
Hermione1980,Sonic Mew,1
Hermione1980,Unfocused,1
Hermione1980,Rogerd,-1
Hermione1980,Splash,1
Hermione1980,Encephalon,1
Hermione1980,Who,1
Hermione1980,Kirill Lokshin,1
Hermione1980,Lupin,1
Hermione1980,Shauri,1
Hermione1980,R.D.H. (Ghost In The Machine),1
Hermione1980,Szyslak,1
Hermione1980,Lord Voldemort,1
Hermione1980,Xoloz,1
Hermione1980,Katefan0,1
Hermione1980,Thatdog,1
Hermione1980,NSR,1
Hermione1980,MONGO,1
Hermione1980,Astrotrain (page does not exist),-1
Hermione1980,Private Butcher,-1
Hermione1980,Freestylefrappe,-1
Hermione1980,Filiocht,-1
Hermione1980,WikiFanatic (page does not exist),-1
Hermione1980,Gamaliel,-1
Hermione1980,Hall Monitor,-1
Hermione1980,Alkivar,-1
Hermione1980,Dragons flight,-1
Hermione1980,Francs2000,-1
Hermione1980,Proto,-1
JIP,Ulayiti (page does not exist),1
JIP,FireFox,1
JIP,Ral315,1
JIP,Sn0wflake,1
JIP,Jusjih,1
JIP,Brian0918,1
JIP,Merovingian,1
JIP,Canderson7,1
JIP,Android79,1
JIP,RN,1
JIP,The JPS,1
JIP,Nickptar,1
JIP,Journalist,1
JIP,Redwolf24,1
JIP,Andrevan,1
JIP,Zzyzx11,1
JIP,Sjakkalle,1
JIP,Proto,1
JIP,V. Molotov (page does not exist),1
JIP,Derktar,1
JIP,KeithD,1
JIP,Alan Au,1
JIP,Bratsche,1
JIP,Mailer diablo,1
JIP,BD2412,1
JIP,Utcursch,1
JIP,Wiki alf,1
JIP,Splash,1
JIP,JIP,1
Shimgray,Michael Snow,1
Shimgray,Friday,1
Shimgray,Bluemoose,1
Shimgray,Nickptar,1
Shimgray,Sean Black,1
Shimgray,Mindspillage,1
Shimgray,Rogerd,1
Shimgray,GregAsche,1
Shimgray,El C,1
Shimgray,Guettarda,1
Shimgray,Ral315,1
Shimgray,Sjakkalle,1
Shimgray,Proto,1
Shimgray,Merovingian,1
Shimgray,Turnstep,1
